# CLASS transfer function for vanilla LCDM with 3 massless neutrinos
# omega_b = 0.022383, omega_cdm = 0.12011, h = 0.6732, ln10^{10}A_s = 3.0448, n_s = 0.96605
# (cosmo parameters taken from first column in Table 1 of arxiv:1807.06209)
# 1:k (h/Mpc)   2:T(k)
1.39224e-03        9.82382e-01
1.39974e-03        9.82239e-01
1.40729e-03        9.82094e-01
1.41487e-03        9.81948e-01
1.42250e-03        9.81802e-01
1.43016e-03        9.81654e-01
1.43787e-03        9.81505e-01
1.44562e-03        9.81355e-01
1.45341e-03        9.81204e-01
1.46124e-03        9.81052e-01
1.46911e-03        9.80899e-01
1.47703e-03        9.80744e-01
1.48499e-03        9.80589e-01
1.49299e-03        9.80432e-01
1.50104e-03        9.80274e-01
1.50913e-03        9.80115e-01
1.51726e-03        9.79955e-01
1.52544e-03        9.79794e-01
1.53366e-03        9.79632e-01
1.54192e-03        9.79468e-01
1.55023e-03        9.79303e-01
1.55859e-03        9.79137e-01
1.56699e-03        9.78970e-01
1.57543e-03        9.78801e-01
1.58392e-03        9.78632e-01
1.59246e-03        9.78461e-01
1.60104e-03        9.78289e-01
1.60967e-03        9.78115e-01
1.61834e-03        9.77941e-01
1.62706e-03        9.77765e-01
1.63583e-03        9.77588e-01
1.64464e-03        9.77409e-01
1.65351e-03        9.77230e-01
1.66242e-03        9.77049e-01
1.67138e-03        9.76866e-01
1.68038e-03        9.76683e-01
1.68944e-03        9.76498e-01
1.69854e-03        9.76312e-01
1.70770e-03        9.76124e-01
1.71690e-03        9.75935e-01
1.72615e-03        9.75745e-01
1.73545e-03        9.75554e-01
1.74481e-03        9.75361e-01
1.75421e-03        9.75166e-01
1.76366e-03        9.74971e-01
1.77317e-03        9.74774e-01
1.78272e-03        9.74575e-01
1.79233e-03        9.74376e-01
1.80199e-03        9.74174e-01
1.81170e-03        9.73972e-01
1.82146e-03        9.73768e-01
1.83128e-03        9.73562e-01
1.84115e-03        9.73355e-01
1.85107e-03        9.73147e-01
1.86104e-03        9.72937e-01
1.87107e-03        9.72726e-01
1.88116e-03        9.72513e-01
1.89129e-03        9.72299e-01
1.90149e-03        9.72083e-01
1.91173e-03        9.71866e-01
1.92203e-03        9.71647e-01
1.93239e-03        9.71427e-01
1.94281e-03        9.71205e-01
1.95328e-03        9.70982e-01
1.96380e-03        9.70757e-01
1.97438e-03        9.70531e-01
1.98502e-03        9.70303e-01
1.99572e-03        9.70073e-01
2.00648e-03        9.69842e-01
2.01729e-03        9.69610e-01
2.02816e-03        9.69376e-01
2.03909e-03        9.69140e-01
2.05008e-03        9.68902e-01
2.06113e-03        9.68663e-01
2.07223e-03        9.68422e-01
2.08340e-03        9.68180e-01
2.09463e-03        9.67936e-01
2.10592e-03        9.67690e-01
2.11727e-03        9.67443e-01
2.12868e-03        9.67194e-01
2.14015e-03        9.66943e-01
2.15168e-03        9.66691e-01
2.16327e-03        9.66437e-01
2.17493e-03        9.66181e-01
2.18665e-03        9.65924e-01
2.19844e-03        9.65664e-01
2.21028e-03        9.65403e-01
2.22220e-03        9.65141e-01
2.23417e-03        9.64876e-01
2.24621e-03        9.64610e-01
2.25832e-03        9.64342e-01
2.27049e-03        9.64072e-01
2.28272e-03        9.63801e-01
2.29502e-03        9.63527e-01
2.30739e-03        9.63252e-01
